t,theta,omega
0.302,3.6293140005448574,2.4674335459717462
0.303,3.631782668216479,2.4720490281298337
0.304,3.634255953678764,2.476685949097754
0.305,3.636733878381246,2.4813443202697756
0.306,3.6392164637848574,2.486024152932068
0.307,3.6417037313618232,2.4907254582601874
0.308,3.6441957025955487,2.495448247316543
0.309,3.6466923989805076,2.5001925310478392
0.31,3.6491938420221257,2.504958320282503
0.311,3.651700053236663,2.5097456257280846
0.312,3.654211054151092,2.5145544579686403
0.313,3.6567268663029746,2.5193848274620945
0.314,3.659247511240336,2.5242367445375793
0.315,3.6617730105215354,2.529110219392753
0.316,3.664303385715135,2.534005262091098
0.317,3.666838658399765,2.5389218825591975
0.318,3.6693788501639886,2.5438600905839883
0.319,3.671923982606159,2.5488198958099955
0.32,3.67447407733428,2.553801307736543
0.321,3.6770291559658586,2.5588043357149424
0.322,3.679589240127759,2.563828988945661
0.323,3.6821543514560493,2.5688752764754654
0.324,3.6847245115958493,2.573943207194547
0.325,3.6872997422011737,2.579032789833621
0.326,3.689880064934772,2.584144032961005
0.327,3.6924655014679657,2.5892769449796758
0.328,3.695056073480485,2.5944315341243023
0.329,3.6976518026602974,2.599607808458256
0.33,3.700252710703439,2.6048057758705996
0.331,3.702858819313838,2.6100254440730515
0.332,3.7054701502031384,2.6152668205969287
0.333,3.7080867250905194,2.6205299127900648
0.334,3.710708565702512,2.625814727813707
0.335,3.713335693772811,2.631121272639389
0.336,3.715968131042088,2.6364495540457793
0.337,3.718605899257795,2.641799578615508
0.338,3.7212490201739703,2.6471713527319705
0.339,3.723897515551039,2.6525648825761032
0.34,3.726551407155611,2.657980174123142
0.341,3.729210716760273,2.6634172331393517
0.342,3.7318754661433817,2.6688760651787353
0.343,3.7345456770888505,2.674356675579716
0.344,3.7372213713859335,2.6798590694617985
0.345,3.7399025708290075,2.6853832517222025
0.346,3.7425892972173482,2.6909292270324756
0.347,3.745281572354906,2.69649699983508
0.348,3.7479794180500754,2.7020865743399547
0.349,3.7506828561154633,2.707697954521055
0.35,3.7533919083676524,2.7133311441128654
0.351,3.756106596626961,2.718986146606888
0.352,3.7588269427172025,2.7246629652481094
0.353,3.761552968465435,2.730361603031437
0.354,3.764284695701714,2.736082062698118
0.355,3.7670221462588374,2.7418243467321264
0.356,3.7697653419720885,2.74758845735653
0.357,3.7725143046789746,2.753374396529829
0.358,3.775269056218962,2.7591821659422733
0.359,3.778029618433209,2.7650117670121506
0.36,3.780796013164293,2.770863200882052
0.361,3.783568262255933,2.776736468415112
0.362,3.786346387552713,2.782631570191221
0.363,3.789130410899797,2.7885485065032167
0.364,3.7919203541426416,2.7944872773530447
0.365,3.7947162391267057,2.8004478824478993
0.366,3.797518087697155,2.8064303211963346
0.367,3.800325921698563,2.8124345927043506
0.368,3.8031397629746104,2.818460695771456
0.369,3.8059596333677748,2.824508628886703
0.37,3.808785554719023,2.8305783902246966
0.371,3.811617548867496,2.8366699776415807
0.372,3.814455637650189,2.842783388670995
0.373,3.8172998429016296,2.8489186205200068
0.374,3.820150186453552,2.8550756700650197
0.375,3.8230066901345645,2.861254533847654
0.376,3.8258693757698152,2.8674552080705995
0.377,3.828738265180654,2.8736776885934474
0.378,3.8316133801842867,2.879921970928492
0.379,3.83449474259343,2.886188050236507
0.38,3.83738237421596,2.892475921322499
0.381,3.840276296854553,2.898785578631429
0.382,3.8431765323063294,2.9051170162439157
0.383,3.846083102362486,2.9114702278719045
0.384,3.8489960288079295,2.9178452068543166
0.385,3.851915333420901,2.9242419461526703
0.386,3.8548410379726006,2.9306604383466746
0.387,3.857773164226804,2.9371006756297984
0.388,3.8607117339394765,2.9435626498048144
0.389,3.8636567688583816,2.9500463522793146
0.39,3.866608290722687,2.9565517740612015
0.391,3.869566321262563,2.963078905754153
0.392,3.8725308821987796,2.969627737553061
0.393,3.875501995242296,2.9761982592394443
0.394,3.8784796820938485,2.9827904601768362
0.395,3.8814639644435314,2.9894043293061445
0.396,3.884454863970374,2.996039855140987
0.397,3.887452402341914,3.002697025763001
0.398,3.8904566012137645,3.009375828817126
0.399,3.8934674822291773,3.016076251506863
0.4,3.8964850670186015,3.022798280589504
0.401,3.899509377199237,3.0295419023713417
0.402,3.9025404343745826,3.036307102702847
0.403,3.905578260133981,3.0430938669738263
0.404,3.908622876052157,3.04990218010855
0.405,3.9116743036887525,3.056732026560858
0.406,3.9147325645878555,3.0635833903092373
0.407,3.917797680277524,3.0704562548518766
0.408,3.920869672269306,3.077350603201694
0.409,3.9239485620577548,3.084266417881342
0.41,3.9270343711199365,3.0912036809181833
0.411,3.930127120914936,3.0981623738392465
0.412,3.9332268328833564,3.1051424776661536
0.413,3.9363335284468124,3.1121439729100233
0.414,3.93944722900742,3.1191668395663514
0.415,3.942567955947281,3.126211057109865
0.416,3.9456957306279614,3.1332766044893523
0.417,3.948830574389966,3.1403634601224693
0.418,3.9519725085522057,3.1474716018905218
0.419,3.955121554411462,3.154601007133222
0.42,3.9582777332418453,3.1617516526434235
0.421,3.9614410662942463,3.1689235146618313
0.422,3.9646115747957853,3.176116568871689
0.423,3.9677892799492533,3.1833307903934394
0.424,3.9709742029325494,3.1905661537793684
0.425,3.974166364898112,3.1978226330082187
0.426,3.9773657869723453,3.205100201479784
0.427,3.9805724902550406,3.2123988320094803
0.428,3.9837864958187903,3.219718496822895
0.429,3.9870078247083987,3.2270591675503124
0.43,3.9902364979402862,3.2344208152212164
0.431,3.9934725365018884,3.241803410258773
0.432,3.996715961351049,3.249206922474291
0.433,3.999966793415408,3.256631321061659
0.434,4.003225053591784,3.264076574591762
0.435,4.006490762745551,3.2715426510068784
0.436,4.009763941710008,3.279029517615054
0.437,4.013044611285747,3.2865371410844553
0.438,4.016332792240012,3.294065487437704
0.439,4.01962850530605,3.3016145220461905
0.44,4.022931771182465,3.3091842096243655
0.441,4.026242610532557,3.316774514224015
0.442,4.029561043983658,3.324385399228514
0.443,4.032887092126467,3.332016827347062
0.444,4.036220775514374,3.3396687606088973
0.445,4.039562114662777,3.3473411603574967
0.446,4.0429111300484,3.355033987244753
0.447,4.046267842108598,3.362747201225137
0.448,4.049632271240662,3.370480761549841
0.449,4.053004437801112,3.3782346267609036
0.45,4.056384362104991,3.38600875468532
0.451,4.059772064425147,3.3938031024291333
0.452,4.063167564991511,3.4016176263715123
0.453,4.066570883990376,3.4094522821588087
0.454,4.069982041563653,3.4173070246986033
0.455,4.073401057808144,3.425181808153734
0.456,4.076827952774786,3.4330765859363095
0.457,4.080262746467907,3.4409913107017096
0.458,4.083705458844468,3.44892593434257
0.459,4.087156109813297,3.456880407982753
0.46,4.090614719234321,3.4648546819713055
0.461,4.094081306917792,3.4728487058764066
0.462,4.097555892623504,3.4808624284792966
0.463,4.101038496060008,3.4888957977681994
0.464,4.1045291368838175,3.496948760932231
0.465,4.108027834698607,3.5050212643552974
0.466,4.1115346090544085,3.51311325360998
0.467,4.1150494794468,3.5212246734514125
0.468,4.118572465316088,3.5293554678111496
0.469,4.12210358604648,3.5375055797910204
0.47,4.125642860965258,3.54567495165698
0.471,4.129190309341942,3.553863524832948
0.472,4.132745950387445,3.5620712398946406
0.473,4.136309803253228,3.5702980365633965
0.474,4.139881887030441,3.5785438536999936
0.475,4.143462220749066,3.5868086292984613
0.476,4.147050823377046,3.5950923004798865
0.477,4.150647713819416,3.6033948034862138
0.478,4.15425291091742,3.6117160736740432
0.479,4.157866433447626,3.6200560455084205
0.48,4.161488300121033,3.6284146525566277
0.481,4.165118529582178,3.6367918274819666
0.482,4.168757140408223,3.645187502037545
0.483,4.1724041511080525,3.6536016070600565
0.484,4.176059580121351,3.6620340724635634
0.485,4.179723445817684,3.6704848272332757
0.486,4.183395766495564,3.678953799419333
0.487,4.187076560381519,3.6874409161305852
0.488,4.1907658456291506,3.695946103528377
0.489,4.194463640318183,3.704469286820334
0.49,4.198169962453512,3.713010390254149
0.491,4.201884829964241,3.7215693371113767
0.492,4.20560826070272,3.7301460497012284
0.493,4.209340272443566,3.7387404493543754
0.494,4.2130808828826884,3.7473524564167553
0.495,4.216830109636304,3.755981990243386
0.496,4.220587970239944,3.764628969192188
0.497,4.224354482147454,3.7732933106178126
0.498,4.228129662729997,3.781974930865481
0.499,4.231913529275036,3.7906737452648316
0.5,4.235706098985323,3.7993896681237778
0.501,4.2395073889778745,3.808122612722378
0.502,4.243317416282944,3.8168724913067176
0.503,4.247136197842988,3.8256392150828016
0.504,4.250963750511621,3.8344226942104633
0.505,4.254800091052578,3.8432228377972875
0.506,4.258645236138652,3.852039553892547
0.507,4.26249920235064,3.860872749481157
0.508,4.266362006176278,3.8697223304776482
0.509,4.27023366400917,3.8785882017201527
0.51,4.274114192147708,3.887470266964415
0.511,4.278003606793996,3.896368428877819
0.512,4.281901924052753,3.9052825890334355
0.513,4.285809159930222,3.914212647904096
0.514,4.289725330333072,3.9231585048564828
0.515,4.293650451067284,3.9321200581452467
0.516,4.297584537837047,3.9410972049071495
0.517,4.301527606243633,3.9500898411552297
0.518,4.305479671784275,3.9590978617729964
0.519,4.3094407498510385,3.9681211605086513
0.52,4.313410855729682,3.9771596299693375
0.521,4.3173900045985185,3.9862131616154195
0.522,4.321378211527267,3.9952816457547926
0.523,4.325375491475899,4.004364971537225
0.524,4.329381859293482,4.013463026948733
0.525,4.3333973297170125,4.022575698805989
0.526,4.3374219173702455,4.031702872750765
0.527,4.341455636762523,4.040844433244413
0.528,4.345498502287589,4.050000263562378
0.529,4.349550528222406,4.059170245788757
0.53,4.3536117287259595,4.068354260810894
0.531,4.357682117838064,4.077552188314009
0.532,4.36176170947816,4.0867639067758805
0.533,4.3658505174441045,4.095989293461563
0.534,4.369948555410956,4.105228224418149
0.535,4.374055836929761,4.114480574469582
0.536,4.378172375426326,4.1237462172115045
0.537,4.382298184199989,4.133025025006169
0.538,4.386433276422388,4.142316868977383
0.539,4.39057766513622,4.151621619005516
0.54,4.394731363253998,4.160939143722549
0.541,4.398894383556798,4.170269310507183
0.542,4.4030667386930125,4.179611985479995
0.543,4.407248441177085,4.188967033498656
0.544,4.411439503388251,4.1983343181532025
0.545,4.415639937569265,4.207713701761362
0.546,4.419849755825135,4.217105045363944
0.547,4.4240689701218345,4.226508208720287
0.548,4.4282975922850305,4.235923050303769
0.549,4.432535633998791,4.245349427297379
0.55,4.436783106804295,4.254787195589356
0.551,4.44104002209854,4.264236209768891
0.552,4.4453063911330375,4.2736963231218965
0.553,4.449582225012512,4.283167387626848
0.554,4.453867534693593,4.292649253950687
0.555,4.458162330983503,4.3021417714448065
0.556,4.462466624538738,4.3116447881410975
0.557,4.466780425863752,4.321158150748079
0.558,4.471103745309631,4.330681704647101
0.559,4.475436593072764,4.340215293888615
0.56,4.479778979193513,4.349758761188543
0.561,4.4841309135548775,4.359311947924701
0.562,4.488492405881154,4.368874694133329
0.563,4.492863465736598,4.378446838505684
0.564,4.497244102524071,4.388028218384726
0.565,4.501634325483702,4.397618669761889
0.566,4.506034143691525,4.407218027273942
0.567,4.51044356605813,4.416826124199928
0.568,4.514862601327301,4.426442792458207
0.569,4.519291258074658,4.43606786260358
0.57,4.52372954470629,4.445701163824512
0.571,4.528177469457391,4.455342523940446
0.572,4.532635040390884,4.464991769399217
0.573,4.537102265396059,4.4746487252745615
0.574,4.541579152187187,4.484313215263725
0.575,4.546065708302151,4.493985061685174
0.576,4.550561941101061,4.503664085476404
0.577,4.555067857764879,4.513350106191863
0.578,4.559583465294027,4.523042942000967
0.579,4.564108770507009,4.5327424096862305
0.58,4.568643780039018,4.542448324641504
0.581,4.573188500340548,4.552160500870324
0.582,4.577742937676003,4.561878750984367
0.583,4.582307098122309,4.5716028862020295
0.584,4.58688098756751,4.5813327163471085
0.585,4.591464611709385,4.591068049847611
0.586,4.596057976054039,4.600808693734677
0.587,4.600661085914518,4.6105544536416145
0.588,4.6052739464093975,4.620305133803073
0.589,4.609896562461395,4.630060537054322
0.59,4.614528938795962,4.6398204648306685
0.591,4.619171079939886,4.649584717166989
0.592,4.6238229902198915,4.659353092697397
0.593,4.628484673761233,4.669125388655037
0.594,4.633156134486299,4.678901400872011
0.595,4.637837376113208,4.688680923779432
0.596,4.642528402154407,4.6984637504076225
0.597,4.647229215915269,4.7082496723864375
0.598,4.651939820492692,4.718038479945731
0.599,4.6566602187737,4.727829961915959
0.6,4.6613904134340425,4.7376239057289276
0.601,4.666130406936793,4.747420097418674
0.602,4.670880201530951,4.757218321622503
0.603,4.67563979925005,4.767018361582159
0.604,4.680409201910751,4.776819999145149
0.605,4.685188411111459,4.786623014766217
0.606,4.68997742823092,4.796427187508961
0.607,4.694776254426835,4.806232295047607
0.608,4.699584890634467,4.816038113668938
0.609,4.704403337565255,4.825844418274371
0.61,4.709231595705425,4.835650982382195
0.611,4.714069665314611,4.845457578129969
0.612,4.718917546424467,4.855263976277072
0.613,4.723775238837294,4.865069946207422
0.614,4.728642742124661,4.87487525593235
0.615,4.733520055626033,4.884679672093646
0.616,4.7384071784474,4.894482959966761
0.617,4.743304109459907,4.904284883464187
0.618,4.748210847298498,4.914085205138993
0.619,4.753127390360549,4.923883686188543
0.62,4.758053736804514,4.933680086458377
0.621,4.762989884548571,4.943474164446268
0.622,4.76793583126928,4.953265677306453
0.623,4.7728915744002265,4.963054380854038
0.624,4.777857111130695,4.972840029569586
0.625,4.782832438404324,4.9826223766038735
0.626,4.787817552917783,4.992401173782838
0.627,4.79281245111944,5.002176171612697
0.628,4.797817129208045,5.0119471192852565
0.629,4.802831583131416,5.021713764683399
0.63,4.807855808585127,5.031475854386763
0.631,4.8128898010112025,5.041233133677597
0.632,4.8179335555968255,5.050985346546818
0.633,4.822987067273041,5.060732235700243
0.634,4.828050330713469,5.070473542565024
0.635,4.83312334033303,5.080209007296263
0.636,4.8382060902866675,5.089938368783833
0.637,4.843298574468085,5.099661364659379
0.638,4.848400786508488,5.109377731303526
0.639,4.8535127197753285,5.119087203853272
0.64,4.858634367371064,5.128789516209595
0.641,4.8637657221319195,5.13848440104524
0.642,4.86890677662666,5.148171589812715
0.643,4.874057523155367,5.157850812752492
0.644,4.879217953748229,5.167521798901401
0.645,4.884388060164336,5.17718427610123
0.646,4.889567833890482,5.186837971007534
0.647,4.894757266139982,5.196482609098636
0.648,4.89995634785149,5.206117914684851
0.649,4.905165069687834,5.215743610917904
0.65,4.910383422034855,5.225359419800553
0.651,4.915611395000255,5.234965062196436
0.652,4.920848978412464,5.244560257840114
0.653,4.926096161819506,5.254144725347321
0.654,4.931352934487876,5.263718182225441
0.655,4.936619285401439,5.27328034488418
0.656,4.9418952032603265,5.282830928646458
0.657,4.947180676479851,5.292369647759515
0.658,4.952475693189429,5.301896215406224
0.659,4.957780241231516,5.311410343716623
0.66,4.963094308160555,5.3209117437796625
0.661,4.968417881241931,5.3304001256551645
0.662,4.973750947450945,5.339875198385998
0.663,4.979093493471797,5.349336670010472
0.664,4.984445505696577,5.358784247574946
0.665,4.989806970224276,5.368217637146653
