t,theta,omega
0.416,1.7019547955922023,-1.4589089712423
0.417,1.7004951569232605,-1.4625986631065957
0.418,1.6990318267169935,-1.4662890515478428
0.419,1.6975648042764757,-1.4699801304297186
0.42,1.6960940889109213,-1.4736718935549546
0.421,1.6946196799357447,-1.477364334665163
0.422,1.6931415766726217,-1.4810574474406637
0.423,1.691659778449551,-1.484751225500312
0.424,1.690174284600916,-1.488445662401326
0.425,1.6886850944675456,-1.4921407516391156
0.426,1.6871922073967767,-1.49583648664711
0.427,1.6856956227425162,-1.4995328607965874
0.428,1.684195339865303,-1.5032298673965037
0.429,1.6826913581323701,-1.5069274996933224
0.43,1.681183676917708,-1.5106257508708452
0.431,1.6796722956021262,-1.5143246140500413
0.432,1.678157213573317,-1.5180240822888798
0.433,1.676638430225918,-1.5217241485821598
0.434,1.675115944961576,-1.5254248058613429
0.435,1.673589757189009,-1.5291260469943853
0.436,1.6720598663240716,-1.53282786478557
0.437,1.6705262717898168,-1.536530251975341
0.438,1.6689889730165615,-1.5402332012401356
0.439,1.6674479694419493,-1.5439367051922197
0.44,1.6659032605110158,-1.5476407563795218
0.441,1.6643548456762518,-1.551345347285468
0.442,1.6628027243976689,-1.5550504703288177
0.443,1.6612468961428632,-1.5587561178635003
0.444,1.6596873603870814,-1.5624622821784508
0.445,1.6581241166132847,-1.5661689554974476
0.446,1.6565571643122146,-1.5698761299789505
0.447,1.6549865029824575,-1.5735837977159384
0.448,1.6534121321305115,-1.5772919507357481
0.449,1.651834051270851,-1.5810005809999144
0.45,1.6502522599259928,-1.5847096804040093
0.451,1.6486667576265626,-1.5884192407774835
0.452,1.6470775439113603,-1.5921292538835066
0.453,1.645484618327427,-1.5958397114188094
0.454,1.643887980430111,-1.5995506050135266
0.455,1.6422876297831348,-1.603261926231039
0.456,1.6406835659586618,-1.6069736665678183
0.457,1.639075788537363,-1.6106858174532703
0.458,1.6374642971084845,-1.6143983702495812
0.459,1.6358490912699144,-1.618111316251562
0.46,1.6342301706282503,-1.6218246466864952
0.461,1.632607534798867,-1.6255383527139828
0.462,1.6309811834059842,-1.6292524254257927
0.463,1.629351116082734,-1.632966855845708
0.464,1.6277173324712295,-1.6366816349293758
0.465,1.6260798322226324,-1.6403967535641575
0.466,1.6244386149972219,-1.6441122025689787
0.467,1.6227936804644627,-1.6478279726941818
0.468,1.6211450283030737,-1.6515440546213769
0.469,1.6194926582010971,-1.6552604389632954
0.47,1.617836569855967,-1.658977116263644
0.471,1.616176762974578,-1.6626940769969585
0.472,1.6145132372733557,-1.6664113115684596
0.473,1.612845992478325,-1.6701288103139087
0.474,1.6111750283251798,-1.6738465634994655
0.475,1.6095003445593525,-1.677564561321545
0.476,1.6078219409360845,-1.6812827939066772
0.477,1.6061398172204953,-1.6850012513113652
0.478,1.6044539731876526,-1.688719923521947
0.479,1.6027644086226434,-1.6924388004544557
0.48,1.6010711233206432,-1.696157871954482
0.481,1.5993741170869873,-1.6998771277970381
0.482,1.5976733897372408,-1.7035965576864203
0.483,1.59596894109727,-1.7073161512560748
0.484,1.5942607710033125,-1.7110358980684632
0.485,1.5925488793020492,-1.7147557876149297
0.486,1.5908332658506745,-1.7184758093155683
0.487,1.5891139305169681,-1.7221959525190917
0.488,1.5873908731793664,-1.7259162065027018
0.489,1.585664093727034,-1.7296365604719592
0.49,1.5839335920599353,-1.7333570035606556
0.491,1.582199368088906,-1.7370775248306864
0.492,1.5804614217357256,-1.7407981132719248
0.493,1.5787197529331896,-1.744518757802096
0.494,1.5769743616251808,-1.7482394472666534
0.495,1.5752252477667426,-1.751960170438656
0.496,1.5734724113241505,-1.7556809160186457
0.497,1.5717158522749852,-1.7594016726345267
0.498,1.5699555706082056,-1.7631224288414455
0.499,1.5681915663242205,-1.7668431731216732
0.5,1.566423839434963,-1.7705638938844863
0.501,1.564652389963962,-1.7742845794660518
0.502,1.5628772179464163,-1.7780052181293113
0.503,1.5610983234292677,-1.781725798063867
0.504,1.5593157064712744,-1.7854463073858686
0.505,1.557529367143084,-1.789166734137902
0.506,1.555739305527308,-1.792887066288879
0.507,1.553945521718595,-1.7966072917339266
0.508,1.5521480158237038,-1.800327398294281
0.509,1.5503467879615789,-1.8040473737171787
0.51,1.5485418382634233,-1.8077672056757528
0.511,1.5467331668727728,-1.8114868817689274
0.512,1.544920773945571,-1.815206389521315
0.513,1.543104659650243,-1.818925716383115
0.514,1.5412848241677697,-1.8226448497300127
0.515,1.5394612676917627,-1.8263637768630807
0.516,1.5376339904285392,-1.830082485008681
0.517,1.535802992597196,-1.8338009613183683
0.518,1.5339682744296852,-1.8375191928687953
0.519,1.5321298361708882,-1.8412371666616183
0.52,1.5302876780786916,-1.844954869623406
0.521,1.528441800424062,-1.848672288605547
0.522,1.5265922034911212,-1.8523894103841623
0.523,1.5247388875772212,-1.856106221660015
0.524,1.52288185299302,-1.8598227090584252
0.525,1.521021100062557,-1.863538859129184
0.526,1.519156629123329,-1.86725465834647
0.527,1.5172884405263645,-1.8709700931087672
0.528,1.5154165346363009,-1.8746851497387835
0.529,1.5135409118314596,-1.8783998144833722
0.53,1.511661572503922,-1.8821140735134536
0.531,1.5097785170596056,-1.885827912923939
0.532,1.50789174591834,-1.889541318733656
0.533,1.5060012595139427,-1.8932542768852756
0.534,1.5041070582942957,-1.8969667732452398
0.535,1.5022091427214217,-1.9006787936036924
0.536,1.5003075132715602,-1.9043903236744102
0.537,1.4984021704352442,-1.908101349094736
0.538,1.4964931147173763,-1.9118118554255141
0.539,1.494580346637306,-1.915521828151026
0.54,1.4926638667289054,-1.9192312526789288
0.541,1.4907436755406462,-1.9229401143401954
0.542,1.4888197736356767,-1.926648398389055
0.543,1.4868921615918982,-1.9303560900029373
0.544,1.4849608400020418,-1.9340631742824164
0.545,1.4830258094737456,-1.9377696362511578
0.546,1.481087070629632,-1.941475460855867
0.547,1.4791446241073836,-1.9451806329662393
0.548,1.477198470559821,-1.9488851373749112
0.549,1.4752486106549798,-1.9525889587974146
0.55,1.4732950450761881,-1.9562920818721317
0.551,1.4713377745221428,-1.9599944911602527
0.552,1.4693767997069873,-1.9636961711457346
0.553,1.4674121213603895,-1.9673971062352615
0.554,1.4654437402276175,-1.9710972807582081
0.555,1.4634716570696185,-1.9747966789666038
0.556,1.461495872663095,-1.9784952850350992
0.557,1.4595163878005837,-1.9821930830609344
0.558,1.457533203290531,-1.9858900570639093
0.559,1.4555463199573722,-1.9895861909863557
0.56,1.4535557386416076,-1.9932814686931108
0.561,1.4515614601998814,-1.9969758739714945
0.562,1.4495634855050583,-2.0006693905312862
0.563,1.4475618154463015,-2.004362002004705
0.564,1.4455564509291499,-2.0080536919463916
0.565,1.443547392875596,-2.0117444438333933
0.566,1.441534642224164,-2.0154342410651482
0.567,1.4395181999299864,-2.0191230669634743
0.568,1.4374980669648827,-2.022810904772559
0.569,1.4354742443174362,-2.0264977376589517
0.57,1.4334467329930722,-2.0301835487115576
0.571,1.4314155340141357,-2.033868320941634
0.572,1.4293806484199687,-2.0375520372827896
0.573,1.4273420772669883,-2.0412346805909825
0.574,1.425299821628764,-2.044916233644525
0.575,1.4232538825960959,-2.048596679144088
0.576,1.4212042612770919,-2.0522759997127076
0.577,1.4191509587972455,-2.055954177895794
0.578,1.4170939762995138,-2.059631196161143
0.579,1.4150333149443948,-2.0633070368989492
0.58,1.4129689759100046,-2.066981682421823
0.581,1.4109009603921563,-2.0706551149648056
0.582,1.4088292696044362,-2.074327316685393
0.583,1.4067539047782827,-2.077998269663555
0.584,1.4046748671630624,-2.081667955901762
0.585,1.4025921580261491,-2.0853363573250117
0.586,1.4005057786530002,-2.0890034557808566
0.587,1.3984157303472349,-2.0926692330394383
0.588,1.3963220144307114,-2.09633367079352
0.589,1.3942246322436038,-2.0999967506585224
0.59,1.3921235851444809,-2.103658454172564
0.591,1.3900188745103816,-2.107318762796499
0.592,1.3879105017368938,-2.110977657913965
0.593,1.385798468238231,-2.114635120831425
0.594,1.3836827754473096,-2.1182911327782175
0.595,1.381563424815826,-2.121945674906607
